"label","head_shape","body_shape","is_smiling","holding","jacket_color","has_tie"
1,"round","round","yes","sword","red","yes"
1,"round","round","yes","sword","red","no"
1,"round","round","yes","sword","yellow","yes"
1,"round","round","yes","sword","yellow","no"
1,"round","round","yes","sword","green","yes"
1,"round","round","yes","sword","green","no"
1,"round","round","yes","sword","blue","yes"
1,"round","round","yes","sword","blue","no"
1,"round","round","yes","balloon","red","yes"
1,"round","round","yes","balloon","red","no"
1,"round","round","yes","balloon","yellow","yes"
1,"round","round","yes","balloon","yellow","no"
1,"round","round","yes","balloon","green","yes"
1,"round","round","yes","balloon","green","no"
1,"round","round","yes","balloon","blue","yes"
1,"round","round","yes","balloon","blue","no"
1,"round","round","yes","flag","red","yes"
1,"round","round","yes","flag","red","no"
1,"round","round","yes","flag","yellow","yes"
1,"round","round","yes","flag","yellow","no"
1,"round","round","yes","flag","green","yes"
1,"round","round","yes","flag","green","no"
1,"round","round","yes","flag","blue","yes"
1,"round","round","yes","flag","blue","no"
1,"round","round","no","sword","red","yes"
1,"round","round","no","sword","red","no"
1,"round","round","no","sword","yellow","yes"
1,"round","round","no","sword","yellow","no"
1,"round","round","no","sword","green","yes"
1,"round","round","no","sword","green","no"
1,"round","round","no","sword","blue","yes"
1,"round","round","no","sword","blue","no"
1,"round","round","no","balloon","red","yes"
1,"round","round","no","balloon","red","no"
1,"round","round","no","balloon","yellow","yes"
1,"round","round","no","balloon","yellow","no"
1,"round","round","no","balloon","green","yes"
1,"round","round","no","balloon","green","no"
1,"round","round","no","balloon","blue","yes"
1,"round","round","no","balloon","blue","no"
1,"round","round","no","flag","red","yes"
1,"round","round","no","flag","red","no"
1,"round","round","no","flag","yellow","yes"
1,"round","round","no","flag","yellow","no"
1,"round","round","no","flag","green","yes"
1,"round","round","no","flag","green","no"
1,"round","round","no","flag","blue","yes"
1,"round","round","no","flag","blue","no"
1,"round","square","yes","sword","red","yes"
1,"round","square","yes","sword","red","no"
0,"round","square","yes","sword","yellow","yes"
0,"round","square","yes","sword","yellow","no"
0,"round","square","yes","sword","green","yes"
0,"round","square","yes","sword","green","no"
0,"round","square","yes","sword","blue","yes"
0,"round","square","yes","sword","blue","no"
1,"round","square","yes","balloon","red","yes"
1,"round","square","yes","balloon","red","no"
0,"round","square","yes","balloon","yellow","yes"
0,"round","square","yes","balloon","yellow","no"
0,"round","square","yes","balloon","green","yes"
0,"round","square","yes","balloon","green","no"
0,"round","square","yes","balloon","blue","yes"
0,"round","square","yes","balloon","blue","no"
1,"round","square","yes","flag","red","yes"
1,"round","square","yes","flag","red","no"
0,"round","square","yes","flag","yellow","yes"
0,"round","square","yes","flag","yellow","no"
0,"round","square","yes","flag","green","yes"
0,"round","square","yes","flag","green","no"
0,"round","square","yes","flag","blue","yes"
0,"round","square","yes","flag","blue","no"
1,"round","square","no","sword","red","yes"
1,"round","square","no","sword","red","no"
0,"round","square","no","sword","yellow","yes"
0,"round","square","no","sword","yellow","no"
0,"round","square","no","sword","green","yes"
0,"round","square","no","sword","green","no"
0,"round","square","no","sword","blue","yes"
0,"round","square","no","sword","blue","no"
1,"round","square","no","balloon","red","yes"
1,"round","square","no","balloon","red","no"
0,"round","square","no","balloon","yellow","yes"
0,"round","square","no","balloon","yellow","no"
0,"round","square","no","balloon","green","yes"
0,"round","square","no","balloon","green","no"
0,"round","square","no","balloon","blue","yes"
0,"round","square","no","balloon","blue","no"
1,"round","square","no","flag","red","yes"
1,"round","square","no","flag","red","no"
0,"round","square","no","flag","yellow","yes"
0,"round","square","no","flag","yellow","no"
0,"round","square","no","flag","green","yes"
0,"round","square","no","flag","green","no"
0,"round","square","no","flag","blue","yes"
0,"round","square","no","flag","blue","no"
1,"round","octagon","yes","sword","red","yes"
1,"round","octagon","yes","sword","red","no"
0,"round","octagon","yes","sword","yellow","yes"
0,"round","octagon","yes","sword","yellow","no"
0,"round","octagon","yes","sword","green","yes"
0,"round","octagon","yes","sword","green","no"
0,"round","octagon","yes","sword","blue","yes"
0,"round","octagon","yes","sword","blue","no"
1,"round","octagon","yes","balloon","red","yes"
1,"round","octagon","yes","balloon","red","no"
0,"round","octagon","yes","balloon","yellow","yes"
0,"round","octagon","yes","balloon","yellow","no"
0,"round","octagon","yes","balloon","green","yes"
0,"round","octagon","yes","balloon","green","no"
0,"round","octagon","yes","balloon","blue","yes"
0,"round","octagon","yes","balloon","blue","no"
1,"round","octagon","yes","flag","red","yes"
1,"round","octagon","yes","flag","red","no"
0,"round","octagon","yes","flag","yellow","yes"
0,"round","octagon","yes","flag","yellow","no"
0,"round","octagon","yes","flag","green","yes"
0,"round","octagon","yes","flag","green","no"
0,"round","octagon","yes","flag","blue","yes"
0,"round","octagon","yes","flag","blue","no"
1,"round","octagon","no","sword","red","yes"
1,"round","octagon","no","sword","red","no"
0,"round","octagon","no","sword","yellow","yes"
0,"round","octagon","no","sword","yellow","no"
0,"round","octagon","no","sword","green","yes"
0,"round","octagon","no","sword","green","no"
0,"round","octagon","no","sword","blue","yes"
0,"round","octagon","no","sword","blue","no"
1,"round","octagon","no","balloon","red","yes"
1,"round","octagon","no","balloon","red","no"
0,"round","octagon","no","balloon","yellow","yes"
0,"round","octagon","no","balloon","yellow","no"
0,"round","octagon","no","balloon","green","yes"
0,"round","octagon","no","balloon","green","no"
0,"round","octagon","no","balloon","blue","yes"
0,"round","octagon","no","balloon","blue","no"
1,"round","octagon","no","flag","red","yes"
1,"round","octagon","no","flag","red","no"
0,"round","octagon","no","flag","yellow","yes"
0,"round","octagon","no","flag","yellow","no"
0,"round","octagon","no","flag","green","yes"
0,"round","octagon","no","flag","green","no"
0,"round","octagon","no","flag","blue","yes"
0,"round","octagon","no","flag","blue","no"
1,"square","round","yes","sword","red","yes"
1,"square","round","yes","sword","red","no"
0,"square","round","yes","sword","yellow","yes"
0,"square","round","yes","sword","yellow","no"
0,"square","round","yes","sword","green","yes"
0,"square","round","yes","sword","green","no"
0,"square","round","yes","sword","blue","yes"
0,"square","round","yes","sword","blue","no"
1,"square","round","yes","balloon","red","yes"
1,"square","round","yes","balloon","red","no"
0,"square","round","yes","balloon","yellow","yes"
0,"square","round","yes","balloon","yellow","no"
0,"square","round","yes","balloon","green","yes"
0,"square","round","yes","balloon","green","no"
0,"square","round","yes","balloon","blue","yes"
0,"square","round","yes","balloon","blue","no"
1,"square","round","yes","flag","red","yes"
1,"square","round","yes","flag","red","no"
0,"square","round","yes","flag","yellow","yes"
0,"square","round","yes","flag","yellow","no"
0,"square","round","yes","flag","green","yes"
0,"square","round","yes","flag","green","no"
0,"square","round","yes","flag","blue","yes"
0,"square","round","yes","flag","blue","no"
1,"square","round","no","sword","red","yes"
1,"square","round","no","sword","red","no"
0,"square","round","no","sword","yellow","yes"
0,"square","round","no","sword","yellow","no"
0,"square","round","no","sword","green","yes"
0,"square","round","no","sword","green","no"
0,"square","round","no","sword","blue","yes"
0,"square","round","no","sword","blue","no"
1,"square","round","no","balloon","red","yes"
1,"square","round","no","balloon","red","no"
0,"square","round","no","balloon","yellow","yes"
0,"square","round","no","balloon","yellow","no"
0,"square","round","no","balloon","green","yes"
0,"square","round","no","balloon","green","no"
0,"square","round","no","balloon","blue","yes"
0,"square","round","no","balloon","blue","no"
1,"square","round","no","flag","red","yes"
1,"square","round","no","flag","red","no"
0,"square","round","no","flag","yellow","yes"
0,"square","round","no","flag","yellow","no"
0,"square","round","no","flag","green","yes"
0,"square","round","no","flag","green","no"
0,"square","round","no","flag","blue","yes"
0,"square","round","no","flag","blue","no"
1,"square","square","yes","sword","red","yes"
1,"square","square","yes","sword","red","no"
1,"square","square","yes","sword","yellow","yes"
1,"square","square","yes","sword","yellow","no"
1,"square","square","yes","sword","green","yes"
1,"square","square","yes","sword","green","no"
1,"square","square","yes","sword","blue","yes"
1,"square","square","yes","sword","blue","no"
1,"square","square","yes","balloon","red","yes"
1,"square","square","yes","balloon","red","no"
1,"square","square","yes","balloon","yellow","yes"
1,"square","square","yes","balloon","yellow","no"
1,"square","square","yes","balloon","green","yes"
1,"square","square","yes","balloon","green","no"
1,"square","square","yes","balloon","blue","yes"
1,"square","square","yes","balloon","blue","no"
1,"square","square","yes","flag","red","yes"
1,"square","square","yes","flag","red","no"
1,"square","square","yes","flag","yellow","yes"
1,"square","square","yes","flag","yellow","no"
1,"square","square","yes","flag","green","yes"
1,"square","square","yes","flag","green","no"
1,"square","square","yes","flag","blue","yes"
1,"square","square","yes","flag","blue","no"
1,"square","square","no","sword","red","yes"
1,"square","square","no","sword","red","no"
1,"square","square","no","sword","yellow","yes"
1,"square","square","no","sword","yellow","no"
1,"square","square","no","sword","green","yes"
1,"square","square","no","sword","green","no"
1,"square","square","no","sword","blue","yes"
1,"square","square","no","sword","blue","no"
1,"square","square","no","balloon","red","yes"
1,"square","square","no","balloon","red","no"
1,"square","square","no","balloon","yellow","yes"
1,"square","square","no","balloon","yellow","no"
1,"square","square","no","balloon","green","yes"
1,"square","square","no","balloon","green","no"
1,"square","square","no","balloon","blue","yes"
1,"square","square","no","balloon","blue","no"
1,"square","square","no","flag","red","yes"
1,"square","square","no","flag","red","no"
1,"square","square","no","flag","yellow","yes"
1,"square","square","no","flag","yellow","no"
1,"square","square","no","flag","green","yes"
1,"square","square","no","flag","green","no"
1,"square","square","no","flag","blue","yes"
1,"square","square","no","flag","blue","no"
1,"square","octagon","yes","sword","red","yes"
1,"square","octagon","yes","sword","red","no"
0,"square","octagon","yes","sword","yellow","yes"
0,"square","octagon","yes","sword","yellow","no"
0,"square","octagon","yes","sword","green","yes"
0,"square","octagon","yes","sword","green","no"
0,"square","octagon","yes","sword","blue","yes"
0,"square","octagon","yes","sword","blue","no"
1,"square","octagon","yes","balloon","red","yes"
1,"square","octagon","yes","balloon","red","no"
0,"square","octagon","yes","balloon","yellow","yes"
0,"square","octagon","yes","balloon","yellow","no"
0,"square","octagon","yes","balloon","green","yes"
0,"square","octagon","yes","balloon","green","no"
0,"square","octagon","yes","balloon","blue","yes"
0,"square","octagon","yes","balloon","blue","no"
1,"square","octagon","yes","flag","red","yes"
1,"square","octagon","yes","flag","red","no"
0,"square","octagon","yes","flag","yellow","yes"
0,"square","octagon","yes","flag","yellow","no"
0,"square","octagon","yes","flag","green","yes"
0,"square","octagon","yes","flag","green","no"
0,"square","octagon","yes","flag","blue","yes"
0,"square","octagon","yes","flag","blue","no"
1,"square","octagon","no","sword","red","yes"
1,"square","octagon","no","sword","red","no"
0,"square","octagon","no","sword","yellow","yes"
0,"square","octagon","no","sword","yellow","no"
0,"square","octagon","no","sword","green","yes"
0,"square","octagon","no","sword","green","no"
0,"square","octagon","no","sword","blue","yes"
0,"square","octagon","no","sword","blue","no"
1,"square","octagon","no","balloon","red","yes"
1,"square","octagon","no","balloon","red","no"
0,"square","octagon","no","balloon","yellow","yes"
0,"square","octagon","no","balloon","yellow","no"
0,"square","octagon","no","balloon","green","yes"
0,"square","octagon","no","balloon","green","no"
0,"square","octagon","no","balloon","blue","yes"
0,"square","octagon","no","balloon","blue","no"
1,"square","octagon","no","flag","red","yes"
1,"square","octagon","no","flag","red","no"
0,"square","octagon","no","flag","yellow","yes"
0,"square","octagon","no","flag","yellow","no"
0,"square","octagon","no","flag","green","yes"
0,"square","octagon","no","flag","green","no"
0,"square","octagon","no","flag","blue","yes"
0,"square","octagon","no","flag","blue","no"
1,"octagon","round","yes","sword","red","yes"
1,"octagon","round","yes","sword","red","no"
0,"octagon","round","yes","sword","yellow","yes"
0,"octagon","round","yes","sword","yellow","no"
0,"octagon","round","yes","sword","green","yes"
0,"octagon","round","yes","sword","green","no"
0,"octagon","round","yes","sword","blue","yes"
0,"octagon","round","yes","sword","blue","no"
1,"octagon","round","yes","balloon","red","yes"
1,"octagon","round","yes","balloon","red","no"
0,"octagon","round","yes","balloon","yellow","yes"
0,"octagon","round","yes","balloon","yellow","no"
0,"octagon","round","yes","balloon","green","yes"
0,"octagon","round","yes","balloon","green","no"
0,"octagon","round","yes","balloon","blue","yes"
0,"octagon","round","yes","balloon","blue","no"
1,"octagon","round","yes","flag","red","yes"
1,"octagon","round","yes","flag","red","no"
0,"octagon","round","yes","flag","yellow","yes"
0,"octagon","round","yes","flag","yellow","no"
0,"octagon","round","yes","flag","green","yes"
0,"octagon","round","yes","flag","green","no"
0,"octagon","round","yes","flag","blue","yes"
0,"octagon","round","yes","flag","blue","no"
1,"octagon","round","no","sword","red","yes"
1,"octagon","round","no","sword","red","no"
0,"octagon","round","no","sword","yellow","yes"
0,"octagon","round","no","sword","yellow","no"
0,"octagon","round","no","sword","green","yes"
0,"octagon","round","no","sword","green","no"
0,"octagon","round","no","sword","blue","yes"
0,"octagon","round","no","sword","blue","no"
1,"octagon","round","no","balloon","red","yes"
1,"octagon","round","no","balloon","red","no"
0,"octagon","round","no","balloon","yellow","yes"
0,"octagon","round","no","balloon","yellow","no"
0,"octagon","round","no","balloon","green","yes"
0,"octagon","round","no","balloon","green","no"
0,"octagon","round","no","balloon","blue","yes"
0,"octagon","round","no","balloon","blue","no"
1,"octagon","round","no","flag","red","yes"
1,"octagon","round","no","flag","red","no"
0,"octagon","round","no","flag","yellow","yes"
0,"octagon","round","no","flag","yellow","no"
0,"octagon","round","no","flag","green","yes"
0,"octagon","round","no","flag","green","no"
0,"octagon","round","no","flag","blue","yes"
0,"octagon","round","no","flag","blue","no"
1,"octagon","square","yes","sword","red","yes"
1,"octagon","square","yes","sword","red","no"
0,"octagon","square","yes","sword","yellow","yes"
0,"octagon","square","yes","sword","yellow","no"
0,"octagon","square","yes","sword","green","yes"
0,"octagon","square","yes","sword","green","no"
0,"octagon","square","yes","sword","blue","yes"
0,"octagon","square","yes","sword","blue","no"
1,"octagon","square","yes","balloon","red","yes"
1,"octagon","square","yes","balloon","red","no"
0,"octagon","square","yes","balloon","yellow","yes"
0,"octagon","square","yes","balloon","yellow","no"
0,"octagon","square","yes","balloon","green","yes"
0,"octagon","square","yes","balloon","green","no"
0,"octagon","square","yes","balloon","blue","yes"
0,"octagon","square","yes","balloon","blue","no"
1,"octagon","square","yes","flag","red","yes"
1,"octagon","square","yes","flag","red","no"
0,"octagon","square","yes","flag","yellow","yes"
0,"octagon","square","yes","flag","yellow","no"
0,"octagon","square","yes","flag","green","yes"
0,"octagon","square","yes","flag","green","no"
0,"octagon","square","yes","flag","blue","yes"
0,"octagon","square","yes","flag","blue","no"
1,"octagon","square","no","sword","red","yes"
1,"octagon","square","no","sword","red","no"
0,"octagon","square","no","sword","yellow","yes"
0,"octagon","square","no","sword","yellow","no"
0,"octagon","square","no","sword","green","yes"
0,"octagon","square","no","sword","green","no"
0,"octagon","square","no","sword","blue","yes"
0,"octagon","square","no","sword","blue","no"
1,"octagon","square","no","balloon","red","yes"
1,"octagon","square","no","balloon","red","no"
0,"octagon","square","no","balloon","yellow","yes"
0,"octagon","square","no","balloon","yellow","no"
0,"octagon","square","no","balloon","green","yes"
0,"octagon","square","no","balloon","green","no"
0,"octagon","square","no","balloon","blue","yes"
0,"octagon","square","no","balloon","blue","no"
1,"octagon","square","no","flag","red","yes"
1,"octagon","square","no","flag","red","no"
0,"octagon","square","no","flag","yellow","yes"
0,"octagon","square","no","flag","yellow","no"
0,"octagon","square","no","flag","green","yes"
0,"octagon","square","no","flag","green","no"
0,"octagon","square","no","flag","blue","yes"
0,"octagon","square","no","flag","blue","no"
1,"octagon","octagon","yes","sword","red","yes"
1,"octagon","octagon","yes","sword","red","no"
1,"octagon","octagon","yes","sword","yellow","yes"
1,"octagon","octagon","yes","sword","yellow","no"
1,"octagon","octagon","yes","sword","green","yes"
1,"octagon","octagon","yes","sword","green","no"
1,"octagon","octagon","yes","sword","blue","yes"
1,"octagon","octagon","yes","sword","blue","no"
1,"octagon","octagon","yes","balloon","red","yes"
1,"octagon","octagon","yes","balloon","red","no"
1,"octagon","octagon","yes","balloon","yellow","yes"
1,"octagon","octagon","yes","balloon","yellow","no"
1,"octagon","octagon","yes","balloon","green","yes"
1,"octagon","octagon","yes","balloon","green","no"
1,"octagon","octagon","yes","balloon","blue","yes"
1,"octagon","octagon","yes","balloon","blue","no"
1,"octagon","octagon","yes","flag","red","yes"
1,"octagon","octagon","yes","flag","red","no"
1,"octagon","octagon","yes","flag","yellow","yes"
1,"octagon","octagon","yes","flag","yellow","no"
1,"octagon","octagon","yes","flag","green","yes"
1,"octagon","octagon","yes","flag","green","no"
1,"octagon","octagon","yes","flag","blue","yes"
1,"octagon","octagon","yes","flag","blue","no"
1,"octagon","octagon","no","sword","red","yes"
1,"octagon","octagon","no","sword","red","no"
1,"octagon","octagon","no","sword","yellow","yes"
1,"octagon","octagon","no","sword","yellow","no"
1,"octagon","octagon","no","sword","green","yes"
1,"octagon","octagon","no","sword","green","no"
1,"octagon","octagon","no","sword","blue","yes"
1,"octagon","octagon","no","sword","blue","no"
1,"octagon","octagon","no","balloon","red","yes"
1,"octagon","octagon","no","balloon","red","no"
1,"octagon","octagon","no","balloon","yellow","yes"
1,"octagon","octagon","no","balloon","yellow","no"
1,"octagon","octagon","no","balloon","green","yes"
1,"octagon","octagon","no","balloon","green","no"
1,"octagon","octagon","no","balloon","blue","yes"
1,"octagon","octagon","no","balloon","blue","no"
1,"octagon","octagon","no","flag","red","yes"
1,"octagon","octagon","no","flag","red","no"
1,"octagon","octagon","no","flag","yellow","yes"
1,"octagon","octagon","no","flag","yellow","no"
1,"octagon","octagon","no","flag","green","yes"
1,"octagon","octagon","no","flag","green","no"
1,"octagon","octagon","no","flag","blue","yes"
1,"octagon","octagon","no","flag","blue","no"
